Netherlands,Lap-2-Place-0
Thailand,Lap-2-Place-0
MOSCOWTRACKTEAM,Lap-2-Place--1
Greece,Lap-2-Place--1
Spain,Lap-2-Place-0
GreatBritain,Lap-2-Place-+1
Lithuania,Lap-2-Place-0
HongKong,Lap-2-Place-+2
China,Lap-2-Place-0
France,Lap-2-Place--1
TEAMJAYCOAIS,Lap-2-Place--1
GREECE,Lap-2-Place--1
UKRAINE,Lap-2-Place-+3
JAPAN,Lap-2-Place--2
KOREA,Lap-2-Place-+1
COLOMBIA,Lap-2-Place--2
SPAIN,Lap-2-Place-0
HONGKONG,Lap-2-Place-+2
NETHERLANDS,Lap-2-Place-0
RUSSIA,Lap-2-Place--1
FRANCE,Lap-2-Place-0
GERMANY,Lap-2-Place-0
CHINA,Lap-2-Place--1
GREATBRITAIN,Lap-2-Place-+1
AUSTRALIA,Lap-2-Place-0
LITHUANIA,Lap-2-Place-0
Australia,Lap-2-Place-0
Lithuania,Lap-2-Place-+5
France,Lap-2-Place--2
ChineseTaipei,Lap-2-Place-+1
Netherlands,Lap-2-Place--2
Japan,Lap-2-Place--2
HongKong,Lap-2-Place--3
Spain,Lap-2-Place--2
UnitedStates,Lap-2-Place-+1
Ukraine,Lap-2-Place-+5
MoscowTrackTeam,Lap-2-Place--5
Germany,Lap-2-Place-+2
Russia,Lap-2-Place-+3
Colombia,Lap-2-Place-0
GreatBritain,Lap-2-Place--1
Venezuela,Lap-2-Place--1
China,Lap-2-Place-0
Mexico,Lap-2-Place--2
Korea,Lap-2-Place-+2
UnitedStates,Lap-2-Place--1
MaxSuccessProCycling,Lap-2-Place--1
HongKong,Lap-2-Place-+3
NewZealand,Lap-2-Place-+1
Russia,Lap-2-Place-+1
Venezuela,Lap-2-Place--5
Colombia,Lap-2-Place-+1
Lithuania,Lap-2-Place-+1
Netherlands,Lap-2-Place-0
Ukraine,Lap-2-Place-0
China,Lap-2-Place-0
Spain,Lap-2-Place-0
ChineseTaipei,Lap-2-Place--1
UnitedStates,Lap-2-Place--2
Japan,Lap-2-Place-+1
Korea,Lap-2-Place-0
Venezuela,Lap-2-Place--1
Colombia,Lap-2-Place--2
HongKong,Lap-2-Place-+1
Lithuania,Lap-2-Place-+4
Russia,Lap-2-Place--2
Germany,Lap-2-Place-+1
Ukraine,Lap-2-Place-+3
China,Lap-2-Place--2
Netherlands,Lap-2-Place-0
Korea,Lap-2-Place-+3
Spain,Lap-2-Place-+1
Colombia,Lap-2-Place-0
HongKong,Lap-2-Place-+2
NewZealand,Lap-2-Place-+3
Japan,Lap-2-Place-+1
Russia,Lap-2-Place-0
Venezuela,Lap-2-Place-+3
Netherlands,Lap-2-Place--8
Ukraine,Lap-2-Place-+3
Germany,Lap-2-Place-+1
Lithuania,Lap-2-Place--8
China,Lap-2-Place-0
France,Lap-2-Place-0
Australia,Lap-2-Place--1
GreatBritain,Lap-2-Place-0
GiantProCycling,Lap-2-Place-+2
Spain,Lap-2-Place-+1
ChineseTaipei,Lap-2-Place--1
MOSCOWTRACKTEAM,Lap-2-Place--2
Korea,Lap-2-Place-+1
NewZealand,Lap-2-Place-0
MAXSUCCESSPROCYCLING,Lap-2-Place--2
HongKong,Lap-2-Place-+1
Japan,Lap-2-Place--4
Lithuania,Lap-2-Place-+4
UnitedStates,Lap-2-Place-0
Venezuela,Lap-2-Place-+2
China,Lap-2-Place-0
Ukraine,Lap-2-Place-+3
Netherlands,Lap-2-Place--1
Russia,Lap-2-Place--4
GreatBritain,Lap-2-Place-0
Venezuela,Lap-2-Place-+1
Colombia,Lap-2-Place-+1
Guatemala,Lap-2-Place-+1
GreatBritain,Lap-2-Place-0
Japan,Lap-2-Place-0
ReynoDeNavarra,Lap-2-Place-0
France,Lap-2-Place-+2
Spain,Lap-2-Place-+1
Russia,Lap-2-Place-+3
Japan,Lap-2-Place-0
China,Lap-2-Place--2
Netherlands,Lap-2-Place--1
GreatBritain,Lap-2-Place-0
Venezuela,Lap-2-Place-0
Japan,Lap-2-Place--4
ChineseTaipei,Lap-2-Place--1
France,Lap-2-Place-0
Spain,Lap-2-Place-+3
UnitedStates,Lap-2-Place-+1
HongKong,Lap-2-Place-+1
GIANTPROCYCLING,Lap-2-Place-+2
Korea,Lap-2-Place-+3
NewZealand,Lap-2-Place-0
PETROHOLDINGLENINGRAD,Lap-2-Place--5
Venezuela,Lap-2-Place-0
Colombia,Lap-2-Place--3
Lithuania,Lap-2-Place-+3
Australia,Lap-2-Place-0
Netherlands,Lap-2-Place--1
China,Lap-2-Place-0
Germany,Lap-2-Place-+1
GreatBritain,Lap-2-Place-0
Ukraine,Lap-2-Place-+1
Russia,Lap-2-Place--1
Japan,Lap-2-Place-0
Ukraine,Lap-2-Place-0
Spain,Lap-2-Place--1
France,Lap-2-Place-0
Russia,Lap-2-Place--2
Australia,Lap-2-Place--1
GreatBritain,Lap-2-Place-+4
Germany,Lap-2-Place-+1
China,Lap-2-Place--1
Japan,Lap-2-Place-0
PetroholdingLeningrad,Lap-2-Place--2
Venezuela,Lap-2-Place-0
Australia,Lap-2-Place-0
France,Lap-2-Place-0
China,Lap-2-Place-+2
Russia,Lap-2-Place-0
