SPAIN,Lap-2-Place--1,Lap-3-Place-+1
UNITEDSTATES,Lap-2-Place-+1,Lap-3-Place--1
VENEZUELA,Lap-2-Place--4,Lap-3-Place--2
GREECE,Lap-2-Place--2,Lap-3-Place-+1
COLOMBIA,Lap-2-Place-+1,Lap-3-Place-0
CZECHREPUBLIC,Lap-2-Place-+1,Lap-3-Place-+2
CANADA,Lap-2-Place-+1,Lap-3-Place--1
MALAYSIA,Lap-2-Place-0,Lap-3-Place-0
POLAND,Lap-2-Place-+2,Lap-3-Place-0
JAPAN,Lap-2-Place--1,Lap-3-Place-0
NETHERLANDS,Lap-2-Place-+1,Lap-3-Place--1
NEWZEALAND,Lap-2-Place--1,Lap-3-Place-+1
AUSTRALIA,Lap-2-Place--1,Lap-3-Place-+1
RUSSIA,Lap-2-Place-+1,Lap-3-Place--1
FRANCE,Lap-2-Place--1,Lap-3-Place-+1
CHINA,Lap-2-Place-+2,Lap-3-Place-0
GERMANY,Lap-2-Place-+1,Lap-3-Place--1
GREATBRITAIN,Lap-2-Place-0,Lap-3-Place-0
Venezuela,Lap-2-Place--2,Lap-3-Place--6
I.R.Iran,Lap-2-Place--2,Lap-3-Place-+1
Greece,Lap-2-Place--3,Lap-3-Place--3
Malaysia,Lap-2-Place-+1,Lap-3-Place--1
CzechRepublic,Lap-2-Place-+3,Lap-3-Place-+5
Ukraine,Lap-2-Place--1,Lap-3-Place-+2
MoscowTrackTeam,Lap-2-Place-+6,Lap-3-Place--1
MaxSuccessProCycling,Lap-2-Place--5,Lap-3-Place-+5
China,Lap-2-Place-+1,Lap-3-Place-0
Colombia,Lap-2-Place-0,Lap-3-Place-+1
Russia,Lap-2-Place-0,Lap-3-Place-0
Australia,Lap-2-Place-+4,Lap-3-Place-+2
YsdTrackTeam,Lap-2-Place--2,Lap-3-Place-+1
Netherlands,Lap-2-Place--9,Lap-3-Place-0
Canada,Lap-2-Place-+2,Lap-3-Place-+1
Japan,Lap-2-Place-+1,Lap-3-Place-+1
Germany,Lap-2-Place--1,Lap-3-Place--9
Poland,Lap-2-Place-+3,Lap-3-Place-+1
GreatBritain,Lap-2-Place-+3,Lap-3-Place-0
France,Lap-2-Place-0,Lap-3-Place-0
Brazil,Lap-2-Place-+1,Lap-3-Place-0
UnitedStates,Lap-2-Place-+1,Lap-3-Place--1
Venezuela,Lap-2-Place-0,Lap-3-Place-+1
Canada,Lap-2-Place-+1,Lap-3-Place-0
CzechRepublic,Lap-2-Place-+1,Lap-3-Place-+1
China,Lap-2-Place-0,Lap-3-Place--2
Netherlands,Lap-2-Place-+1,Lap-3-Place-0
Poland,Lap-2-Place-+1,Lap-3-Place-+1
Japan,Lap-2-Place-+2,Lap-3-Place-0
Germany,Lap-2-Place-0,Lap-3-Place-0
MOSCOWTRACKTEAM,Lap-2-Place-+1,Lap-3-Place-0
TEAMERDGAS2012,Lap-2-Place-0,Lap-3-Place-0
France,Lap-2-Place-+2,Lap-3-Place--1
Russia,Lap-2-Place-+1,Lap-3-Place-+1
Greece,Lap-2-Place-0,Lap-3-Place--1
Malaysia,Lap-2-Place-0,Lap-3-Place-+1
India,Lap-2-Place-0,Lap-3-Place-+2
Canada,Lap-2-Place-0,Lap-3-Place-0
CzechRepublic,Lap-2-Place-0,Lap-3-Place-+2
UnitedStates,Lap-2-Place-+1,Lap-3-Place--5
Japan,Lap-2-Place--1,Lap-3-Place-+4
Venezuela,Lap-2-Place-+1,Lap-3-Place--1
Poland,Lap-2-Place--1,Lap-3-Place-+1
China,Lap-2-Place-0,Lap-3-Place-0
France,Lap-2-Place-+1,Lap-3-Place-0
NewZealand,Lap-2-Place--1,Lap-3-Place-+1
Netherlands,Lap-2-Place--1,Lap-3-Place--5
Australia,Lap-2-Place-+1,Lap-3-Place-+2
Russia,Lap-2-Place-0,Lap-3-Place-0
Germany,Lap-2-Place--1,Lap-3-Place-0
GreatBritain,Lap-2-Place-+1,Lap-3-Place--1
GiantProCycling,Lap-2-Place--6,Lap-3-Place--1
MAXSUCCESSPROCYCLING,Lap-2-Place--2,Lap-3-Place--2
China,Lap-2-Place-+5,Lap-3-Place-0
HongKong,Lap-2-Place-0,Lap-3-Place-0
NewZealand,Lap-2-Place-+4,Lap-3-Place-+4
Japan,Lap-2-Place-+2,Lap-3-Place--1
GreatBritain,Lap-2-Place-0,Lap-3-Place--1
Canada,Lap-2-Place-0,Lap-3-Place-0
MOSCOWTRACKTEAM,Lap-2-Place-0,Lap-3-Place-0
UnitedStates,Lap-2-Place-0,Lap-3-Place-+2
Venezuela,Lap-2-Place-0,Lap-3-Place--1
Poland,Lap-2-Place-0,Lap-3-Place-+2
Russia,Lap-2-Place-+1,Lap-3-Place-0
Netherlands,Lap-2-Place--3,Lap-3-Place--2
Argentina,Lap-2-Place-0,Lap-3-Place-+2
Venezuela,Lap-2-Place--1,Lap-3-Place--1
Germany,Lap-2-Place-0,Lap-3-Place-0
Japan,Lap-2-Place--1,Lap-3-Place-+2
PetroholdingLeningrad,Lap-2-Place--2,Lap-3-Place-0
ProterFocusTrackTeam,Lap-2-Place-0,Lap-3-Place-0
Greece,Lap-2-Place--2,Lap-3-Place-0
Ukraine,Lap-2-Place-0,Lap-3-Place-0
Netherlands,Lap-2-Place-+1,Lap-3-Place-0
CzechRepublic,Lap-2-Place-+1,Lap-3-Place-0
Russia,Lap-2-Place-0,Lap-3-Place--1
Poland,Lap-2-Place-+1,Lap-3-Place-+1
Japan,Lap-2-Place-+1,Lap-3-Place-0
France,Lap-2-Place--1,Lap-3-Place-0
Germany,Lap-2-Place-0,Lap-3-Place-0
GreatBritain,Lap-2-Place-+1,Lap-3-Place-0
Brazil,Lap-2-Place-0,Lap-3-Place-+1
Japan,Lap-2-Place--3,Lap-3-Place-+1
CzechRepublic,Lap-2-Place--1,Lap-3-Place-0
Canada,Lap-2-Place--1,Lap-3-Place--1
China,Lap-2-Place-+4,Lap-3-Place-0
GreatBritain,Lap-2-Place-+2,Lap-3-Place--1
TEAMERDGAS2012,Lap-2-Place-+3,Lap-3-Place-0
NewZealand,Lap-2-Place-0,Lap-3-Place--1
Australia,Lap-2-Place-+2,Lap-3-Place-+2
MOSCOWTRACKTEAM,Lap-2-Place-+2,Lap-3-Place-0
UnitedStates,Lap-2-Place-+2,Lap-3-Place-+2
Netherlands,Lap-2-Place--5,Lap-3-Place--1
France,Lap-2-Place-+1,Lap-3-Place-0
Venezuela,Lap-2-Place--8,Lap-3-Place--1
Poland,Lap-2-Place-+1,Lap-3-Place-0
Germany,Lap-2-Place--1,Lap-3-Place-0
Russia,Lap-2-Place-+2,Lap-3-Place--1
India,Lap-2-Place-0,Lap-3-Place-0
Greece,Lap-2-Place-0,Lap-3-Place-0
Ukraine,Lap-2-Place-0,Lap-3-Place-0
CzechRepublic,Lap-2-Place--1,Lap-3-Place--1
Spain,Lap-2-Place-0,Lap-3-Place-+1
GreatBritain,Lap-2-Place-+1,Lap-3-Place--4
Poland,Lap-2-Place-+1,Lap-3-Place-+1
Netherlands,Lap-2-Place--3,Lap-3-Place--1
Germany,Lap-2-Place--1,Lap-3-Place-+1
China,Lap-2-Place-0,Lap-3-Place-0
Russia,Lap-2-Place-+1,Lap-3-Place--1
NewZealand,Lap-2-Place-0,Lap-3-Place-0
France,Lap-2-Place-+3,Lap-3-Place-+3
Australia,Lap-2-Place-0,Lap-3-Place-0
Japan,Lap-2-Place-0,Lap-3-Place-0
ReynoDeNavarra,Lap-2-Place--4,Lap-3-Place-+2
Greece,Lap-2-Place--2,Lap-3-Place-+3
MAXSUCCESSPROCYCLING,Lap-2-Place-0,Lap-3-Place-0
GIANTPROCYCLING,Lap-2-Place-+3,Lap-3-Place--5
Ukraine,Lap-2-Place-+1,Lap-3-Place-+2
PetroholdingLeningrad,Lap-2-Place--2,Lap-3-Place-+2
Rusvelo,Lap-2-Place--1,Lap-3-Place-+1
Argentina,Lap-2-Place-0,Lap-3-Place-+2
Canada,Lap-2-Place-+5,Lap-3-Place-+3
CzechRepublic,Lap-2-Place--6,Lap-3-Place-+2
Venezuela,Lap-2-Place--7,Lap-3-Place-+1
Netherlands,Lap-2-Place-+3,Lap-3-Place--2
CycloChannelTokyo,Lap-2-Place-+4,Lap-3-Place-+1
Australia,Lap-2-Place-+2,Lap-3-Place--2
France,Lap-2-Place--1,Lap-3-Place-+2
Germany,Lap-2-Place-+6,Lap-3-Place-+1
NewZealand,Lap-2-Place--1,Lap-3-Place-0
